user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
DOME2_0147	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp012837295	GCF_012837295.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp012837295	99.29	0.944	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_012838715.1, s__Corynebacterium sp012838715, 95.0, 85.85, 0.255; GCF_001552415.1, s__Corynebacterium xerosis, 95.0, 92.1, 0.748; GCF_946222985.1, s__Corynebacterium sp946222985, 95.0, 86.38, 0.436; GCF_030408835.1, s__Corynebacterium freneyi, 95.0, 87.56, 0.537; GCF_030408795.1, s__Corynebacterium hansenii, 95.0, 88.45, 0.565	N/A	N/A	N/A	N/A
DOME2_0148	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus;s__Micrococcus lylae	GCF_001570885.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus;s__Micrococcus lylae	97.73	0.893	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_014205115.1, s__Micrococcus endophyticus, 95.0, 81.92, 0.202; GCF_014204815.1, s__Micrococcus flavus, 95.0, 81.71, 0.172; GCF_023155805.1, s__Micrococcus sp023155805, 95.0, 81.92, 0.165; GCF_000023205.1, s__Micrococcus luteus, 95.0, 81.88, 0.177; GCF_020097155.1, s__Micrococcus porci, 95.0, 81.59, 0.164; GCF_023147585.1, s__Micrococcus sp023147585, 95.0, 81.26, 0.153; GCA_946222435.1, s__Micrococcus sp946222435, 95.0, 89.02, 0.547; GCF_030523875.1, s__Micrococcus sp030523875, 95.0, 82.25, 0.182	N/A	N/A	N/A	N/A
DOME2_0149	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus licheniformis	GCF_000011645.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus licheniformis	99.64	0.941	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_001969815.1, s__Bacillus swezeyi, 95.0, 83.94, 0.441; GCF_029537375.1, s__Bacillus sonorensis_A, 95.0, 84.33, 0.447; GCF_001969855.1, s__Bacillus haynesii, 95.0, 95.12, 0.877; GCF_001042485.2, s__Bacillus paralicheniformis, 95.0, 94.31, 0.89	N/A	N/A	N/A	N/A
DOME2_0150	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium jeikeium_D	GCA_003955985.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium jeikeium_D	96.25	0.927	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_016889425.1, s__Corynebacterium amycolatum, 95.0, 94.66, 0.915; GCF_001054325.1, s__Corynebacterium vitaeruminis_A, 95.0, 91.72, 0.879; GCF_946998835.1, s__Corynebacterium sp946998835, 95.0, 89.66, 0.767; GCF_000173655.1, s__Corynebacterium amycolatum_A, 95.0, 94.74, 0.907	N/A	N/A	N/A	N/A
DOME2_0151	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus licheniformis	GCF_000011645.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus licheniformis	99.7	0.953	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_001969855.1, s__Bacillus haynesii, 95.0, 94.98, 0.883; GCF_001969815.1, s__Bacillus swezeyi, 95.0, 83.89, 0.45; GCF_029537375.1, s__Bacillus sonorensis_A, 95.0, 84.32, 0.446; GCF_001042485.2, s__Bacillus paralicheniformis, 95.0, 94.54, 0.892	N/A	N/A	N/A	N/A
DOME2_0152	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus safensis	GCF_000691165.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus safensis	97.31	0.922	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_025809375.1, s__Bacillus zhangzhouensis_A, 95.0, 94.39, 0.868; GCF_024498355.1, s__Bacillus pumilus_P, 95.0, 90.93, 0.835; GCF_014764715.1, s__Bacillus sp014764715, 95.0, 90.93, 0.832; GCF_003431975.1, s__Bacillus pumilus_N, 95.0, 91.07, 0.848; GCF_000691145.1, s__Bacillus altitudinis, 95.0, 89.97, 0.802; GCF_900186955.1, s__Bacillus pumilus, 95.0, 91.65, 0.873; GCA_030159235.1, s__Bacillus safensis_B, 95.0, 93.11, 0.901; GCF_020524495.1, s__Bacillus stratosphericus_B, 95.0, 88.39, 0.68; GCA_001938995.1, s__Bacillus pumilus_G, 95.0, 86.61, 0.627; GCF_002998085.1, s__Bacillus sp002998085, 95.0, 91.81, 0.875; GCF_001307105.1, s__Bacillus australimaris, 95.0, 93.3, 0.897; GCF_002744245.1, s__Bacillus pumilus_M, 95.0, 90.06, 0.79; GCF_000715205.1, s__Bacillus zhangzhouensis, 95.0, 90.9, 0.843; GCF_009937765.1, s__Bacillus pumilus_O, 95.0, 90.93, 0.855; GCF_000300535.1, s__Bacillus xiamenensis, 95.0, 89.86, 0.769	N/A	N/A	N/A	N/A
DOME2_0154	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus licheniformis	GCF_000011645.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus licheniformis	99.66	0.953	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_001969815.1, s__Bacillus swezeyi, 95.0, 84.02, 0.45; GCF_001969855.1, s__Bacillus haynesii, 95.0, 94.98, 0.875; GCF_029537375.1, s__Bacillus sonorensis_A, 95.0, 84.38, 0.449; GCF_001042485.2, s__Bacillus paralicheniformis, 95.0, 94.54, 0.88	N/A	N/A	N/A	N/A
DOME2_0155	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_H;f__Bacillaceae_D;g__Shouchella;s__Shouchella rhizosphaerae	GCF_900142675.1	95.29	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_H;f__Bacillaceae_D;g__Shouchella;s__Shouchella rhizosphaerae	99.27	0.953	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_002250115.1, s__Shouchella clausii, 95.0, 95.39, 0.904; GCF_025770735.1, s__Shouchella tritolerans, 95.0, 93.23, 0.857	N/A	N/A	N/A	N/A
DOME2_0156	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus licheniformis	GCF_000011645.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus licheniformis	99.67	0.954	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_001969855.1, s__Bacillus haynesii, 95.0, 95.0, 0.883; GCF_001969815.1, s__Bacillus swezeyi, 95.0, 83.99, 0.453; GCF_001042485.2, s__Bacillus paralicheniformis, 95.0, 94.31, 0.895; GCF_029537375.1, s__Bacillus sonorensis_A, 95.0, 84.41, 0.452	N/A	N/A	N/A	N/A
DOME2_0157	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus;s__Micrococcus lylae	GCF_001570885.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus;s__Micrococcus lylae	97.76	0.861	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_000023205.1, s__Micrococcus luteus, 95.0, 81.73, 0.182; GCF_023155805.1, s__Micrococcus sp023155805, 95.0, 81.66, 0.17; GCF_014205115.1, s__Micrococcus endophyticus, 95.0, 82.05, 0.204; GCF_020097155.1, s__Micrococcus porci, 95.0, 81.94, 0.171; GCF_014204815.1, s__Micrococcus flavus, 95.0, 81.77, 0.173; GCF_023147585.1, s__Micrococcus sp023147585, 95.0, 81.28, 0.16; GCA_946222435.1, s__Micrococcus sp946222435, 95.0, 89.03, 0.543; GCF_030523875.1, s__Micrococcus sp030523875, 95.0, 82.52, 0.191	N/A	N/A	N/A	N/A
DOME2_0158	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus succinus	GCF_029024945.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus succinus	99.28	0.927	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
DOME2_0159	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus licheniformis	GCF_000011645.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus licheniformis	99.67	0.953	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_001969815.1, s__Bacillus swezeyi, 95.0, 84.02, 0.45; GCF_001969855.1, s__Bacillus haynesii, 95.0, 94.99, 0.875; GCF_029537375.1, s__Bacillus sonorensis_A, 95.0, 84.38, 0.448; GCF_001042485.2, s__Bacillus paralicheniformis, 95.0, 94.54, 0.88	N/A	N/A	N/A	N/A
DOME2_0162	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus licheniformis	GCF_000011645.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus licheniformis	99.73	0.963	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_001969815.1, s__Bacillus swezeyi, 95.0, 83.99, 0.468; GCF_029537375.1, s__Bacillus sonorensis_A, 95.0, 84.39, 0.458; GCF_001969855.1, s__Bacillus haynesii, 95.0, 95.0, 0.911; GCF_001042485.2, s__Bacillus paralicheniformis, 95.0, 94.3, 0.913	N/A	N/A	N/A	N/A
DOME2_0171	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter sp003410005	GCF_003410005.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter sp003410005	96.96	0.88	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_000196795.1, s__Acinetobacter oleivorans, 95.0, 95.05, 0.809; GCF_022449185.1, s__Acinetobacter pittii_I, 95.0, 91.22, 0.798; GCA_031277915.1, s__Acinetobacter sp031277915, 95.0, 89.15, 0.662; GCF_002928115.1, s__Acinetobacter pittii_H, 95.0, 91.43, 0.8; GCF_016508255.1, s__Acinetobacter calcoaceticus_E, 95.0, 91.15, 0.795; GCF_900520355.1, s__Acinetobacter calcoaceticus_C, 95.0, 90.84, 0.771; GCF_000313935.1, s__Acinetobacter sp000313935, 95.0, 92.55, 0.807; GCA_025736915.1, s__Acinetobacter nosocomialis_A, 95.0, 89.61, 0.694; GCF_013344765.1, s__Acinetobacter lactucae_A, 95.0, 91.65, 0.792; GCF_000369045.1, s__Acinetobacter pittii, 95.0, 91.34, 0.799; GCF_000399685.1, s__Acinetobacter pittii_E, 95.0, 91.52, 0.794; GCF_013009345.1, s__Acinetobacter geminorum, 95.0, 90.85, 0.761; GCF_009759685.1, s__Acinetobacter baumannii, 95.0, 88.77, 0.649; GCF_000368065.1, s__Acinetobacter seifertii, 95.0, 89.86, 0.628; GCF_023920705.1, s__Acinetobacter sp023920705, 95.0, 93.69, 0.765; GCF_000368085.1, s__Acinetobacter nosocomialis, 95.0, 88.78, 0.67; GCF_001605885.1, s__Acinetobacter lactucae, 95.0, 91.59, 0.785; GCF_000368965.1, s__Acinetobacter calcoaceticus, 95.0, 91.47, 0.774; GCF_000399665.1, s__Acinetobacter calcoaceticus_B, 95.0, 93.44, 0.823	N/A	N/A	N/A	N/A
DOME2_0173	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp012837295	GCF_012837295.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp012837295	98.97	0.941	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_012838715.1, s__Corynebacterium sp012838715, 95.0, 85.69, 0.254; GCF_001552415.1, s__Corynebacterium xerosis, 95.0, 92.47, 0.756; GCF_946222985.1, s__Corynebacterium sp946222985, 95.0, 86.36, 0.435; GCF_030408835.1, s__Corynebacterium freneyi, 95.0, 87.79, 0.516; GCF_030408795.1, s__Corynebacterium hansenii, 95.0, 88.33, 0.544	N/A	N/A	N/A	N/A
DOME2_0174	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus;s__Micrococcus luteus	GCF_000023205.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus;s__Micrococcus luteus	97.21	0.877	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_023155805.1, s__Micrococcus sp023155805, 95.0, 86.21, 0.381; GCF_020097155.1, s__Micrococcus porci, 95.0, 86.37, 0.365; GCF_023147585.1, s__Micrococcus sp023147585, 95.0, 85.22, 0.368; GCF_014205115.1, s__Micrococcus endophyticus, 95.0, 89.95, 0.612; GCF_001570885.1, s__Micrococcus lylae, 95.0, 81.85, 0.19; GCF_014204815.1, s__Micrococcus flavus, 95.0, 85.16, 0.343; GCA_946222435.1, s__Micrococcus sp946222435, 95.0, 84.14, 0.167; GCF_030523875.1, s__Micrococcus sp030523875, 95.0, 84.21, 0.315	N/A	N/A	N/A	N/A
DOME2_0175	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	GCF_006742205.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	97.62	0.927	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
DOME2_0176	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium xerosis	GCF_001552415.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium xerosis	98.46	0.928	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_012838715.1, s__Corynebacterium sp012838715, 95.0, 85.46, 0.256; GCF_012837295.1, s__Corynebacterium sp012837295, 95.0, 91.85, 0.689; GCF_946222985.1, s__Corynebacterium sp946222985, 95.0, 86.5, 0.472; GCF_030408835.1, s__Corynebacterium freneyi, 95.0, 87.14, 0.504; GCF_030408795.1, s__Corynebacterium hansenii, 95.0, 88.09, 0.559	N/A	N/A	N/A	N/A
DOME2_0177	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	GCF_006742205.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	99.55	0.949	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
DOME2_0180	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus xylosus	GCF_002732165.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus xylosus	97.76	0.937	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_000338275.1, s__Staphylococcus xylosus_B, 95.0, 93.35, 0.868; GCF_017583065.1, s__Staphylococcus shinii, 95.0, 91.67, 0.854; GCF_003697915.1, s__Staphylococcus pseudoxylosus, 95.0, 93.59, 0.896	N/A	N/A	N/A	N/A
DOME2_0182	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	GCF_006742205.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	97.72	0.904	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
DOME2_0184	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus succinus	GCF_029024945.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus succinus	99.48	0.964	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
DOME2_0187	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus licheniformis	GCF_000011645.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus licheniformis	99.66	0.954	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_001969815.1, s__Bacillus swezeyi, 95.0, 84.0, 0.451; GCF_001969855.1, s__Bacillus haynesii, 95.0, 95.0, 0.879; GCF_029537375.1, s__Bacillus sonorensis_A, 95.0, 84.4, 0.447; GCF_001042485.2, s__Bacillus paralicheniformis, 95.0, 94.3, 0.89	N/A	N/A	N/A	N/A
DOME2_0189	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Micrococcaceae;g__Kocuria;s__Kocuria rhizophila	GCF_003667225.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Micrococcaceae;g__Kocuria;s__Kocuria rhizophila	97.95	0.91	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_030530945.1, s__Kocuria sp030530945, 95.0, 86.23, 0.497; GCF_027658845.1, s__Kocuria marina_A, 95.0, 84.41, 0.352; GCA_014652975.1, s__Kocuria marina, 95.0, 83.96, 0.33; GCF_007681555.1, s__Kocuria salsicia, 95.0, 85.87, 0.443; GCF_003226895.2, s__Kocuria tytonis, 95.0, 87.87, 0.568; GCF_006539885.1, s__Kocuria varians, 95.0, 85.75, 0.415; GCF_000010285.1, s__Kocuria rhizophila_A, 95.0, 90.24, 0.682; GCF_003687455.1, s__Kocuria tytonicola, 95.0, 88.06, 0.551	N/A	N/A	N/A	N/A
DOME2_0190	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__Nocardiopsis;s__Nocardiopsis alba	GCF_000341225.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__Nocardiopsis;s__Nocardiopsis alba	99.22	0.965	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_020741345.1, s__Nocardiopsis listeri_A, 95.0, 85.47, 0.349; GCF_900143625.1, s__Nocardiopsis sp900143625, 95.0, 84.35, 0.356; GCF_001905145.1, s__Nocardiopsis sp001905145, 95.0, 82.5, 0.199; GCF_001279585.1, s__Nocardiopsis sp001279585, 95.0, 81.98, 0.168; GCF_000341265.1, s__Nocardiopsis prasina, 95.0, 83.89, 0.319; GCF_030555055.1, s__Nocardiopsis sp030555055, 95.0, 82.31, 0.165; GCF_030271535.1, s__Nocardiopsis sp030271535, 95.0, 81.31, 0.185; GCF_003634495.1, s__Nocardiopsis sp003634495, 95.0, 82.2, 0.182; GCF_014203695.1, s__Nocardiopsis algeriensis, 95.0, 81.43, 0.19; GCA_000340945.1, s__Nocardiopsis synnemataformans, 95.0, 82.14, 0.193; GCF_018316655.1, s__Nocardiopsis changdeensis, 95.0, 82.09, 0.191; GCF_014651695.1, s__Nocardiopsis terrae, 95.0, 84.23, 0.33; GCF_000341005.1, s__Nocardiopsis alkaliphila, 95.0, 84.37, 0.324; GCF_900141985.1, s__Nocardiopsis flavescens, 95.0, 81.58, 0.181; GCF_003386285.1, s__Nocardiopsis sp003386285, 95.0, 82.4, 0.176; GCF_000341085.1, s__Nocardiopsis ganjiahuensis, 95.0, 84.49, 0.313; GCF_018207095.1, s__Nocardiopsis sp018207095, 95.0, 84.71, 0.34; GCF_008638365.1, s__Nocardiopsis quinghaiensis, 95.0, 82.14, 0.191; GCF_013410755.1, s__Nocardiopsis aegyptia, 95.0, 82.08, 0.17; GCF_000341065.1, s__Nocardiopsis halotolerans, 95.0, 82.65, 0.172; GCF_014892575.1, s__Nocardiopsis coralli, 95.0, 81.38, 0.157; GCF_000092985.1, s__Nocardiopsis dassonvillei, 95.0, 82.56, 0.198; GCA_018388625.1, s__Nocardiopsis eucommiae, 95.0, 83.92, 0.32; GCA_002529455.1, s__Nocardiopsis fusca, 95.0, 82.66, 0.203; GCF_030766825.1, s__Nocardiopsis sp030766825, 95.0, 81.73, 0.185; GCF_009830945.1, s__Nocardiopsis sp009830945, 95.0, 82.35, 0.198; GCF_028882275.1, s__Nocardiopsis sp028882275, 95.0, 81.84, 0.178; GCF_001570765.1, s__Nocardiopsis listeri, 95.0, 84.74, 0.343; GCF_001942255.1, s__Nocardiopsis sp001942255, 95.0, 81.82, 0.162; GCF_026642255.1, s__Nocardiopsis nanhaiensis_A, 95.0, 82.21, 0.205; GCF_014201115.1, s__Nocardiopsis metallicus, 95.0, 84.45, 0.303; GCF_008638415.1, s__Nocardiopsis sinuspersici, 95.0, 82.15, 0.182; GCF_024134545.1, s__Nocardiopsis exhalans, 95.08, 84.2, 0.3; GCF_012396365.1, s__Nocardiopsis alborubida, 95.0, 82.35, 0.192	N/A	N/A	N/A	N/A
DOME2_0191	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus licheniformis	GCF_000011645.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus licheniformis	99.66	0.95	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_001969855.1, s__Bacillus haynesii, 95.0, 95.45, 0.873; GCF_001969815.1, s__Bacillus swezeyi, 95.0, 83.86, 0.445; GCF_029537375.1, s__Bacillus sonorensis_A, 95.0, 84.33, 0.437; GCF_001042485.2, s__Bacillus paralicheniformis, 95.0, 94.54, 0.89	N/A	N/A	N/A	N/A
DOME2_0194	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulosimicrobium;s__Cellulosimicrobium funkei	GCF_004519295.1	95.74	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulosimicrobium;s__Cellulosimicrobium funkei	97.77	0.934	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_943181405.1, s__Cellulosimicrobium sp943181405, 95.0, 85.07, 0.374; GCF_003052455.1, s__Cellulosimicrobium cinnabarinum, 95.0, 95.7, 0.916; GCF_026163685.1, s__Oerskovia sp026163685, 95.0, 80.8, 0.152; GCF_016907755.1, s__Cellulosimicrobium cellulans_D, 95.0, 89.96, 0.672; GCF_016921195.1, s__Cellulosimicrobium cellulans_F, 95.0, 90.5, 0.687; GCF_009708005.2, s__Cellulosimicrobium protaetiae, 95.0, 89.76, 0.665; GCF_014837295.1, s__Cellulosimicrobium arenosum, 95.0, 82.79, 0.244; GCF_001722485.1, s__Cellulosimicrobium cellulans_A, 95.0, 85.54, 0.339; GCF_024124905.1, s__Cellulosimicrobium cellulans_G, 95.0, 90.18, 0.672; GCF_001942335.1, s__Cellulosimicrobium sp001942335, 95.0, 84.71, 0.326; GCF_020551945.1, s__Cellulosimicrobium marinum, 95.0, 84.54, 0.342; GCA_029256625.1, s__Cellulosimicrobium sp029256625, 95.0, 89.76, 0.531; GCF_000718325.1, s__Oerskovia turbata, 95.0, 80.82, 0.156; GCF_009711085.1, s__Cellulosimicrobium composti, 95.0, 89.53, 0.63; GCA_014803435.1, s__Cellulosimicrobium terreum, 95.0, 83.55, 0.281; GCF_006539945.1, s__Cellulosimicrobium cellulans, 95.0, 89.98, 0.677; GCF_001019615.1, s__Cellulosimicrobium cellulans_E, 95.0, 90.45, 0.69	N/A	N/A	N/A	N/A
